TeacherID,Date,LoginTime,LogoutTime,PunctualityScore,StudentFeedbackScore,ClassEngagementScore,OverallPerformanceScore,Qualification,YearsOfExperience
1,2024-08-01,08:00,15:00,9,9,7,8.333333333333334,PhD,8
2,2024-08-02,08:10,15:10,7,9,7,7.666666666666667,B.Ed,3
3,2024-08-03,08:20,15:20,7,7,7,7.0,B.Ed,21
4,2024-08-04,08:30,15:30,8,7,9,8.0,M.Sc,25
5,2024-08-05,08:40,15:40,8,9,8,8.333333333333334,PhD,24
6,2024-08-06,08:50,15:50,7,7,9,7.666666666666667,M.Ed,16
7,2024-08-07,09:00,16:00,9,7,8,8.0,M.Sc,6
8,2024-08-08,09:10,16:10,7,8,8,7.666666666666667,M.Ed,7
9,2024-08-09,09:20,16:20,8,8,9,8.333333333333334,PhD,21
10,2024-08-10,09:30,16:30,7,7,7,7.0,M.Ed,28
11,2024-08-11,09:40,16:40,8,8,9,8.333333333333334,M.Ed,16
12,2024-08-12,09:50,16:50,9,8,7,8.0,M.Sc,11
13,2024-08-13,10:00,17:00,7,9,7,7.666666666666667,B.Sc,24
14,2024-08-14,10:10,17:10,7,8,8,7.666666666666667,M.Ed,29
15,2024-08-15,10:20,17:20,8,7,7,7.333333333333333,PhD,22
16,2024-08-16,10:30,17:30,8,7,7,7.333333333333333,B.Ed,3
17,2024-08-17,10:40,17:40,9,8,9,8.666666666666666,PhD,7
18,2024-08-18,10:50,17:50,7,7,9,7.666666666666667,B.Sc,17
19,2024-08-19,11:00,18:00,8,8,9,8.333333333333334,B.Sc,2
20,2024-08-20,11:10,18:10,7,9,7,7.666666666666667,B.Ed,11
21,2024-08-21,11:20,18:20,8,9,9,8.666666666666666,B.Sc,20
22,2024-08-22,11:30,18:30,8,7,7,7.333333333333333,M.Ed,2
23,2024-08-23,11:40,18:40,7,7,7,7.0,PhD,14
24,2024-08-24,11:50,18:50,8,9,8,8.333333333333334,PhD,13
25,2024-08-25,12:00,19:00,9,7,9,8.333333333333334,M.Ed,12
26,2024-08-26,12:10,19:10,7,9,8,8.0,B.Ed,26
27,2024-08-27,12:20,19:20,8,7,7,7.333333333333333,M.Ed,15
28,2024-08-28,12:30,19:30,9,8,8,8.333333333333334,B.Ed,26
29,2024-08-29,12:40,19:40,7,9,7,7.666666666666667,M.Ed,4
30,2024-08-30,12:50,19:50,9,8,9,8.666666666666666,B.Sc,3
31,2024-08-31,13:00,20:00,9,7,9,8.333333333333334,M.Sc,21
32,2024-09-01,13:10,20:10,9,9,9,9.0,M.Ed,20
33,2024-09-02,13:20,20:20,7,8,8,7.666666666666667,B.Ed,27
34,2024-09-03,13:30,20:30,8,8,9,8.333333333333334,B.Sc,7
35,2024-09-04,13:40,20:40,7,9,9,8.333333333333334,M.Sc,7
36,2024-09-05,13:50,20:50,8,9,8,8.333333333333334,B.Ed,12
37,2024-09-06,14:00,21:00,8,7,8,7.666666666666667,M.Ed,25
38,2024-09-07,14:10,21:10,8,9,8,8.333333333333334,M.Ed,28
39,2024-09-08,14:20,21:20,9,9,9,9.0,B.Sc,10
40,2024-09-09,14:30,21:30,7,7,7,7.0,PhD,3
41,2024-09-10,14:40,21:40,9,9,9,9.0,B.Ed,3
